Region,Scenario,Variable,Unit,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Notes
R5REF,IMAGE - RCP3-PD (2.6),CH4 emissions - Forest burning,TgCH4/yr,2.163,2.163,2.163,2.163,2.164,2.163,2.163,2.163,2.163,2.163,2.163,2.163,1) MESSAGE data only reported for main tropical regions based on RETRO
World,IMAGE - RCP3-PD (2.6),CH4 emissions - Forest burning,TgCH4/yr,16.574,16.881,16.280,15.804,15.775,13.715,13.454,14.244,13.551,13.207,13.358,12.997,1) MESSAGE data only reported for main tropical regions based on RETRO
R5ASIA,IMAGE - RCP3-PD (2.6),N2O emissions - Total,TgN2O/yr,4.000,4.267,4.533,4.530,4.524,4.489,3.931,3.664,3.742,3.739,3.677,3.583,
R5LAM,IMAGE - RCP3-PD (2.6),N2O emissions - Total,TgN2O/yr,1.642,1.726,1.827,1.845,1.794,1.772,1.473,1.293,1.257,1.189,1.150,1.134,
R5MAF,IMAGE - RCP3-PD (2.6),N2O emissions - Total,TgN2O/yr,1.855,2.007,2.078,2.045,2.054,2.001,1.642,1.469,1.465,1.419,1.357,1.291,
R5OECD,IMAGE - RCP3-PD (2.6),N2O emissions - Total,TgN2O/yr,3.477,3.350,3.200,2.559,2.516,2.423,2.184,1.982,1.933,1.828,1.742,1.629,
R5REF,IMAGE - RCP3-PD (2.6),N2O emissions - Total,TgN2O/yr,0.744,0.724,0.678,0.592,0.591,0.594,0.586,0.578,0.624,0.648,0.655,0.664,
World,IMAGE - RCP3-PD (2.6),N2O emissions - Total,TgN2O/yr,11.718,12.075,12.317,11.571,11.479,11.278,9.816,8.986,9.022,8.821,8.581,8.301,
R5ASIA,IMAGE - RCP3-PD (2.6),HFC23 emissions - Total,kt/yr,4.097,6.968,6.651,0.892,0.535,0.320,0.191,0.106,0.057,0.029,0.000,0.000,
R5LAM,IMAGE - RCP3-PD (2.6),HFC23 emissions - Total,kt/yr,0.323,0.337,0.412,0.040,0.024,0.014,0.009,0.005,0.003,0.001,0.000,0.000,
R5MAF,IMAGE - RCP3-PD (2.6),HFC23 emissions - Total,kt/yr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
R5OECD,IMAGE - RCP3-PD (2.6),HFC23 emissions - Total,kt/yr,5.784,3.455,2.453,0.218,0.131,0.078,0.047,0.026,0.014,0.007,0.000,0.000,
R5REF,IMAGE - RCP3-PD (2.6),HFC23 emissions - Total,kt/yr,0.192,0.052,0.006,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,
